time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
96.0,4.0,2325145.9356258283,1152230.6761857746,839050.3185998083,725851.951966689,40752372.08441723,15984310.110614967,16767648.142236263,116.01774182279809,4962.076015505211,0.031415631418328135,0.0,4.76837158203125e-07
100.0,4.0,2197202.3888628045,1196547.5111045288,885605.7369607363,1639572.9144180883,42063968.7363193,16869915.8475757,18407221.05665435,119.75172033626494,5152.426287169446,0.032202220788350534,7.450580596923828e-09,4.76837158203125e-07
104.0,4.0,2509531.8160068165,1211192.6557993595,1144536.805030814,1259793.0092663006,43428963.747295305,18014452.652606517,19667014.06592065,123.63771839411484,5409.259212508893,0.03335077770688378,0.0,0.0
108.0,4.0,2391221.782048459,1289877.9026767719,881474.5650754961,890315.838276458,44938710.96426827,18895927.21768201,20557329.904197108,127.93581084560758,5617.29667180082,0.03531924668220186,0.0,9.5367431640625e-07
112.0,4.0,2617780.6078954544,1374332.96717251,1504610.6026498284,1056122.7100607262,46051880.96951389,20400537.82033184,21613452.614257835,131.10488944564452,5851.139255236391,0.03449689579751084,0.0,0.0
116.0,4.0,2151480.2687705606,1365936.2582882764,1490120.3102203452,958083.9675142403,46713240.92806411,21890658.130552188,22571536.581772074,132.98771208880436,5990.5114581279595,0.03493094463604096,0.0,4.76837158203125e-07
120.0,4.0,2469173.584395651,1302487.5086660935,974561.078809438,1273307.8947514098,48207853.43365032,22865219.209361624,23844844.476523485,137.24271759962545,6143.7468985941405,0.036262533521064844,7.450580596923828e-09,4.76837158203125e-07
124.0,4.0,2685914.8257080065,1251607.749150979,1136697.5268680027,1845715.1685887633,49757070.73249033,24001916.73622963,25690559.64511225,141.653177246782,6259.322520262969,0.03825603066367352,0.0,4.76837158203125e-07
128.0,4.0,2507317.56187038,1308307.4826057584,1701729.2945214328,1039639.0221170883,50562658.99983927,25703646.03075106,26730198.66722934,143.94660280304564,6418.184306553965,0.038349266170553425,-7.450580596923828e-09,0.0
132.0,4.0,2461676.7354286974,1227686.6567143972,963807.4033878155,684715.5998062618,52060528.33188015,26667453.434138875,27414914.2670356,148.21088015821474,6621.318138309775,0.04017582718739063,0.0,4.76837158203125e-07
136.0,4.0,2672556.5248984164,1318272.9399227668,941147.452246717,1980974.8113210844,53791937.40453185,27608600.886385594,29395889.078356683,153.14002073350323,6773.370948638906,0.04118680959696651,0.0,4.76837158203125e-07
140.0,4.0,2361008.518233426,1401540.0304276338,1620837.459464132,980809.8612031201,54532108.46330115,29229438.345849726,30376698.939559802,155.24721033765974,6967.815532855887,0.04160073730321839,7.450580596923828e-09,4.76837158203125e-07
144.0,4.0,2971777.986823217,1452072.8221042575,538820.2704767891,1058280.8334685874,56965066.17964758,29768258.616326515,31434979.77302839,162.17358654015803,7104.549667585434,0.0426338189524378,0.0,4.76837158203125e-07
148.0,4.0,2859567.0398655524,1546065.840174061,1588014.301207455,1846085.5423630192,58236618.91830567,31356272.91753397,33281065.315391406,165.7935642200369,6874.603129826204,0.04516160717669994,-7.450580596923828e-09,4.76837158203125e-07
152.0,4.0,2573689.5493974043,1563214.701027494,1037591.7389755598,1324258.3834043834,59772716.72872752,32393864.65650953,34605323.69879579,170.16667405558024,6938.797045243464,0.04707475602593028,7.450580596923828e-09,9.5367431640625e-07
156.0,4.0,2874145.866418138,1569562.2725496748,1377276.7797810924,665343.9979766796,61269585.81536456,33771141.43629062,35270667.69677247,174.4281038166809,6897.9715474289105,0.04897273847007338,0.0,4.76837158203125e-07
160.0,4.0,2890675.4395622346,1723530.7423064648,1366578.9702983354,1601976.1108011375,62793682.284628466,35137720.40658896,36872643.80757361,178.7670470889355,6941.004099675298,0.05077736017873835,7.450580596923828e-09,4.76837158203125e-07
164.0,4.0,3534964.5830681156,1745884.564140956,2136930.6681335843,1966371.2750560148,64191716.199563,37274651.07472254,38839015.08262962,182.74710345145607,6936.841714480655,0.05126677645690946,0.0,0.0
168.0,4.0,2831613.3646317148,1794105.571385418,1235641.0745608325,370599.06790366926,65787688.48963388,38510292.14928338,39209614.15053329,187.29066966944768,6954.667509066176,0.05252074793518844,7.450580596923828e-09,4.76837158203125e-07
