seed,mode,weakening_enabled,mechanical_forcing_enabled,final_plate_count,topology_event_count,final_max_rift_extension,final_mean_rift_extension,final_rifted_cell_fraction_ge_0p5,cumulative_breakup_area_km2,cumulative_continental_thinning_volume_km3,final_continental_area_fraction,final_mean_continental_root_km,final_mean_craton_strength,final_cratonic_continent_fraction,maximum_plume_extension_forcing_over_run,cumulative_mean_plume_extension_impulse_myr,cumulative_max_plume_extension_impulse_myr,maximum_local_cumulative_root_erosion_km,numerical_clip_cells,global_continental_ledger_error_km3
20260809,control,False,False,15,15,0.08709136118847442,0.0030557356093834547,0.0,0.0,76008298.21552154,0.2820856719269597,149.21997830357313,0.6408310692199728,0.6814974162092229,0.0,0.0,0.0,0.0,0,9.5367431640625e-07
20260809,weakening_only,True,False,13,13,0.2403985914887241,0.003006469327450989,0.0,0.0,76597369.66076608,0.2810051923095389,151.54478437737004,0.6335583090363635,0.6225701198040015,0.0,0.0,0.0,28.629181671975587,0,9.5367431640625e-07
20260809,forcing_only,False,True,15,11,0.6012711034813787,0.021785874676187988,0.00078125,313052.7468230874,120475082.70087412,0.2826162536502234,132.46474585212593,0.5688396913083968,0.31556197234892164,1.0,7.983840479370323,307.17137157969796,0.0,0,1.430511474609375e-06
20260809,combined,True,True,12,6,0.9997787442331971,0.02274595729045739,0.003125,258111.26690664928,112319335.61127828,0.2795779537557544,145.866365599103,0.5709152963125498,0.35244037758467167,1.0,8.006135803589643,307.41289235231585,37.26294333083757,0,1.430511474609375e-06
ensemble_mean,control,False,False,14.75,15.25,0.1261956507275782,0.0033457076299175355,0.0,0.0,96302331.49236947,0.28426854175962446,137.8058404532058,0.6222194203745697,0.5944692390861006,0.0,0.0,0.0,0.0,0.0,8.344650268554688e-07
ensemble_std,control,False,False,2.277608394786075,3.491060010942235,0.03716251808612502,0.0005145800932064934,0.0,0.0,31620104.508390177,0.001799816386832593,7.817001810301135,0.02096425948663642,0.07894016483878522,0.0,0.0,0.0,0.0,0.0,2.0647654623614278e-07
ensemble_mean,weakening_only,True,False,11.5,12.5,0.1725385856417847,0.0026125012069918956,0.0,0.0,84459502.67290942,0.2867067754850645,146.96151422325144,0.6314639283338976,0.6589309168804071,0.0,0.0,0.0,33.418569416933025,0.0,3.5762786865234375e-07
ensemble_std,weakening_only,True,False,2.958039891549808,2.958039891549808,0.053432508742678485,0.0011386517525370618,0.0,0.0,34157701.12755447,0.0039506540303587126,6.86515328976118,0.011221354507069615,0.07763498275244606,0.0,0.0,0.0,9.529834176839254,0.0,5.196212462831347e-07
ensemble_mean,forcing_only,False,True,14.5,12.5,0.7967019231005343,0.024517038768903723,0.0017578125,188373.44886220392,138077868.89444765,0.28592933825605016,134.81701253432303,0.5594079741610358,0.31242964449725497,1.0,7.800032794223588,208.5812133478845,0.0,0.0,8.344650268554688e-07
ensemble_std,forcing_only,False,True,1.118033988749895,2.692582403567252,0.20659867946129687,0.007486700789153166,0.0016914558667664816,193682.80425933903,39488478.01898201,0.002289439377504421,5.542438505722947,0.038310233607119354,0.11124087986145109,0.0,1.4457850272177464,57.50656627604942,0.0,0.0,3.95372484964776e-07
ensemble_mean,combined,True,True,12.5,12.5,0.8390739609193092,0.023581218577225095,0.00390625,259866.55383055686,145927129.96704483,0.2863786417933575,142.6244152001468,0.5661214751422454,0.3457352073544567,1.0,7.7664977862538365,208.72443890293033,35.50318009356209,0.0,5.960464477539062e-07
ensemble_std,combined,True,True,2.179449471770337,5.894913061275798,0.26245183180339016,0.005700884767124165,0.00370579413300982,318988.4317332635,45916908.969631866,0.0050397650649691835,4.069657144346355,0.03447900487272659,0.10095151736612004,0.0,1.4095260626461188,57.48307837036525,9.087827892809539,0.0,6.194296387084284e-07
