time_myr,dt_myr,mean_continental_lithosphere_age_myr,max_continental_lithosphere_age_myr,mean_mantle_depletion_fraction,max_mantle_depletion_fraction,mean_craton_strength,max_craton_strength,cratonic_area_fraction_of_surface,cratonic_fraction_of_continental_material,juvenile_continental_fraction_of_surface,new_continental_material_volume_km3,mean_extension_factor_continental
116.0,4.0,596.8061954424161,616.0,0.3460608970886215,0.35685334259389656,0.5158105850089759,0.538563771770055,0.0,0.0,0.006552242115187408,896962.8108115145,0.6492488021938962
120.0,4.0,599.6833769842914,620.0,0.3470577839027086,0.358463746411903,0.5171584213259541,0.5408664776052833,0.0,0.0,0.006818688756468435,2646710.235993993,0.648332273498351
124.0,4.0,602.9645048246988,624.0,0.3482873473249577,0.3600670087612929,0.5186641619918064,0.5431575675897886,0.0,0.0,0.007014081926630485,2541165.241657879,0.6473083698455715
128.0,4.0,606.6102935533785,628.0,0.349729939001863,0.36166316131149817,0.5207754192834926,0.5454371007454559,0.0,0.0,0.0069520923434884365,874532.6879962096,0.6458727148872251
132.0,4.0,609.4455905202852,632.0,0.350691428231684,0.36325223559151,0.5223330107262965,0.5477051357934348,0.0,0.0,0.007286546450587009,790052.7353926199,0.6448135527061183
136.0,4.0,613.3968841919949,636.0,0.3522919607376451,0.3648342629905016,0.5246428980494289,0.54996173115567,0.0,0.0,0.00711525258355379,634291.4638406837,0.6432428293263882
140.0,4.0,617.0318388599851,640.0,0.35370417868864573,0.36640927475844837,0.5270198410069888,0.5522069449564234,0.0,0.0,0.00709620506238672,670071.1724034036,0.6416265081152476
144.0,4.0,620.445202164044,644.0,0.3549819377228758,0.3679773020067451,0.5285175083964421,0.5544408350237883,0.0,0.0,0.007148396771430635,660857.2452894906,0.6406080942904192
148.0,4.0,624.020125972113,648.0,0.35635346073402857,0.3695383757088205,0.5304586600565623,0.5566634588911961,0.0,0.0,0.007148462640853976,744524.6781073085,0.6392881111615375
152.0,4.0,627.4040686517877,652.0,0.3576194284052346,0.37109252670074905,0.5322983337933608,0.5588748737989162,0.0,0.0,0.0073388567313701835,790957.6484814212,0.6380371330205145
156.0,4.0,631.164429386838,656.0,0.3590656212499994,0.3726397856818602,0.533893578360277,0.5610751366955464,0.0,0.0,0.007265807314839576,2606354.099290267,0.6369523667150117
160.0,4.0,634.3791517548462,660.0,0.36021336742001203,0.3741801832153445,0.535669711308273,0.5632643042394977,0.0,0.0,0.007381250915050716,801696.3762982885,0.6357445963103743
